Date/Time (hourly average)	SWD [W/m**2]	Origin of Values
1997-03-01T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T06	ø20	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T07	ø176	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T08	ø331	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T09	ø435	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T10	ø491	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T11	ø535	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T12	ø618	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T13	ø532	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T14	ø399	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T15	ø252	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T16	ø78	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T17	ø6	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-01T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T06	ø4	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T07	ø24	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T08	ø156	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T09	ø443	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T10	ø562	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T11	ø617	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T12	ø611	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T13	ø552	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T14	ø430	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T15	ø273	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T16	ø113	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T17	ø5	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-02T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T06	ø35	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T07	ø150	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T08	ø302	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T09	ø456	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T10	ø559	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T11	ø580	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T12	ø602	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T13	ø553	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T14	ø429	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T15	ø258	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T16	ø96	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T17	ø8	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-03T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T06	ø27	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T07	ø164	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T08	ø327	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T09	ø471	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T10	ø574	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T11	ø620	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T12	ø602	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T13	ø533	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T14	ø420	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T15	ø260	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T16	ø71	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T17	ø6	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-04T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T06	ø3	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T07	ø24	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T08	ø82	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T09	ø124	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T10	ø290	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T11	ø580	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T12	ø591	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T13	ø537	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T14	ø401	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T15	ø274	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T16	ø119	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T17	ø6	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-05T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T06	ø23	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T07	ø204	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T08	ø371	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T09	ø522	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T10	ø624	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T11	ø673	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T12	ø661	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T13	ø589	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T14	ø479	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T15	ø314	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T16	ø137	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T17	ø13	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T18	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T19	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T20	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T21	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T22	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-06T23	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T00	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T01	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T02	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T03	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T04	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T05	ø0	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T06	ø36	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T07	ø189	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T08	ø358	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T09	ø502	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T10	ø602	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T11	ø653	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T12	ø642	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T13	ø576	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T14	ø460	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T15	ø304	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T16	ø130	https://doi.pangaea.de/10.1594/PANGAEA.758875
1997-03-07T17	ø13	https://doi.pangaea.de/10.1594/PANGAEA.758875
