Date/Time (hourly average)	SWD [W/m**2]	Origin of Values
2008-11-01T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T05	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T06	ø6	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T07	ø46	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T08	ø111	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T09	ø96	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T10	ø134	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T11	ø152	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T12	ø231	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T13	ø159	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T14	ø125	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T15	ø18	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T16	ø-1	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T17	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T18	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T19	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T20	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T21	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T22	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-01T23	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T00	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T01	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T02	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T03	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
2008-11-02T04	ø-2	https://doi.pangaea.de/10.1594/PANGAEA.735084; https://doi.pangaea.de/10.1594/PANGAEA.735090
